file,info,total,!,",",.,?,a,aby,albo,ale,ani,aż,bardzo,bez,bo,by,choć,co,coraz,czy,dla,do,dotąd,dziś,gdy,gdyby,gdzie,i,jak,jakby,jako,jeszcze,jeśli,już,kiedy,kiedyś,ku,lecz,ledwie,może,na,nad,nawet,ni,niby,nie,niech,niegdyś,nieraz,nigdy,niż,o,od,po,pod,potem,przecież,przed,przez,przy,razem,sam,się,stąd,tak,tam,teraz,też,to,tu,tuż,tyle,tylko,tym,tymczasem,u,w,we,więc,wkoło,wnet,wszystko,wtem,wtenczas,właśnie,z,za,zaraz,ze,znowu,że,żeby
txt/micinski-strach.txt,Tadeusz Miciński: Strach,330,0,13,19,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,3,9,8,0,0,0,0,1,1,0,0,1,0,0,3,1,0,0,0,5,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,12,0,1,2,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,4,3,0,0,1,0,0
txt/do-anusie-siebie-musze-nie-ciebie-w-tej-mierze-winowac.txt,Mikołaj Sęp Szarzyński: Do Anusie,164,0,16,3,3,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
txt/korotynski-czem-chata-bogata-tem-rada-przednowek.txt,"Wincenty Korotyński: Czem chata bogata, tem rada (Przednówek)",483,15,50,5,7,3,0,0,0,0,2,0,0,2,3,1,0,0,1,2,0,0,0,4,0,0,17,4,0,0,2,0,2,2,0,0,1,0,2,5,0,0,0,0,12,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,5,0,1,0,1,0,3,0,0,0,0,0,0,1,5,0,1,0,0,1,0,0,0,6,5,0,1,0,2,0
txt/nic-wiecej-kwiecien-tych-co-bez-troski.txt,Józef Czechowicz: nic więcej (kwiecień tych co bez troski),117,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
txt/fraszki-ksiegi-trzecie-do-dziewki-nie-uciekaj-przede-mna-dzi.txt,"Jan Kochanowski: Fraszki, Księgi trzecie (Do dziewki)",118,0,19,3,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
txt/gusla-i-zacheta-do-ucieczki.txt,Jerzy Liebert: I (Zachęta do ucieczki),241,0,29,19,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,5,0,0,0,0,1,15,5,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
txt/cos.txt,Hans Christian Andersen: Coś (tłum. Cecylia Niewiadomska),2872,15,276,137,22,29,2,2,20,2,3,4,1,9,5,5,14,2,3,6,24,2,2,3,1,1,92,10,2,1,2,0,14,4,0,0,4,0,6,61,1,5,0,2,43,1,0,0,0,0,13,6,7,1,3,3,4,4,2,1,2,48,0,4,6,1,4,34,1,0,1,4,8,1,3,32,1,3,0,0,5,2,0,2,50,14,1,1,1,23,0
txt/bertrand-skarbo.txt,Aloysius Bertrand: Skarbo (tłum. Stefan Napierski),150,3,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0
txt/fraszki-ksiegi-pierwsze-na-stara.txt,"Jan Kochanowski: Fraszki, Księgi pierwsze (Na starą)",42,1,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
txt/slowka-zbior-piosenki-zb-piosenka-w-stylu-klasycznym.txt,Tadeusz Boy-Żeleński: Piosenki „Zielonego Balonika” (Piosenka w stylu klasycznym),215,2,17,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,0,3,0,1,0,0,0,1,0,0,4,0,0,0,0,3,4,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,1,3,0,0,0,2,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
txt/ballada-z-tamtej-strony-o-matce.txt,: ,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
